checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
5,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.084560249976649,0.3004996431120628,1.0847374450698115,4203
5,,anchor_A_merge,fast_adapt,full,fast_adapt/full,2.9414851453773765,0.3581081081081081,1.1081714712975108,4144
5,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.3302890443358417,0.10230053842388644,1.016172523890648,4086
5,5,task_05_test,online_write,full,online_write/full,2.988048053221938,0.38320987654320987,1.2726747152494429,2025
5,6,task_06_test_pre,online_write,full,online_write/full,3.19741647235321,0.1242176215695715,1.10637904411441,2077
5,6,task_06_control_pre,online_write,full,online_write/full,3.299817328327757,0.1004223369310183,1.2303404298723304,2131
5,,anchor_A_1,online_write,full,online_write/full,2.9419505875440164,0.3794334682218519,1.2809879349768996,4201
5,,anchor_B_1,online_write,full,online_write/full,3.369909537865955,0.17402597402597403,1.3956025071026497,4235
5,,anchor_C_1,online_write,full,online_write/full,3.084996792060543,0.10138713745271122,1.0502353532467634,3965
5,,anchor_B_prime_1,online_write,full,online_write/full,3.3139369150933753,0.19237108547209794,1.3922404050191086,4247
5,,anchor_A_2,online_write,full,online_write/full,3.0654989746511503,0.3534675615212528,1.3049982692092554,4023
5,,anchor_X_transient,online_write,full,online_write/full,3.0845603102677646,0.3004996431120628,1.1906276795304709,4203
5,,anchor_A_merge,online_write,full,online_write/full,2.9414851572962375,0.3581081081081081,1.2085526748182807,4144
5,,anchor_E_1,online_write,full,online_write/full,3.3302890030877794,0.10230053842388644,1.1326285516227788,4086
6,6,task_06_test,frozen,full,frozen/full,2.777778456517579,0.34328358208955223,0.9658720928370292,2077
6,7,task_07_test_pre,frozen,full,frozen/full,3.251478201790252,0.14384577360355907,1.1524026034435775,2023
6,6,task_06_control,frozen,full,frozen/full,2.852881339837105,0.36133270764899106,1.0952809457765504,2131
6,,anchor_A_1,frozen,full,frozen/full,3.2034322788135916,0.15401094977386337,1.1842350095999976,4201
6,,anchor_B_1,frozen,full,frozen/full,3.4451017287433356,0.09988193624557261,1.1598034251819958,4235
6,,anchor_C_1,frozen,full,frozen/full,2.582712334612429,0.3679697351828499,0.9118346487288217,3965
6,,anchor_B_prime_1,frozen,full,frozen/full,3.3927922079303223,0.08759124087591241,1.1738140015481977,4247
6,,anchor_A_2,frozen,full,frozen/full,3.3158233267082196,0.1424310216256525,1.1943564022651159,4023
