anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,68,5,0.2346119173814775,0.284472081384112,0.14574307537619124,0.07166659128003718,0.24791010122595275,0.449607813271616,1.2511919466385522,0.056167843177748505,0.024282008455959115,,A_2,frozen/full
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,58,5,0.20514656569744838,0.20985150873638508,0.15355550200966062,0.07908175797512638,0.28644637857825295,0.721902485624001,0.947144431889723,0.05254840396440956,0.03622367501537021,,A_2,frozen/full
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,71,5,0.1964289358524706,0.2249887933798249,0.1940675505079917,0.11339909345405001,0.20828604815624607,0.3650221041031621,0.7742919079600291,0.05819253320504598,0.025237053518744924,,A_2,frozen/full
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,67,5,0.19987039064826143,0.15306884072026916,0.1793072979529071,0.07352841335194922,0.2539302220528008,4.682404048675003,1.7340001923432802,0.048004099202407266,0.021672821127079512,,A_2,frozen/full
10,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,48,5,0.21696562780515075,0.1914729395529889,0.1993927815822646,0.07019669461817142,0.3016352313112716,0.9349551390597353,0.8634869762534736,0.0655125107405675,0.023640793100629477,,A_2,frozen/full
11,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,74,5,0.19250214944125976,0.20110395075762189,0.14185467775559574,0.09294335870799365,0.2262643326008373,1.2686772802444761,1.472111199089287,0.04915234899667818,0.0268767168931028,,A_2,frozen/full
12,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,64,5,0.20329053325117183,0.27368023136645475,0.18165636443963434,0.06965709193840809,0.2569094625944636,0.5389506105522784,0.35432876430598764,0.05980146348588982,0.021576187030946978,,A_2,frozen/full
13,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,54,5,0.17283313248848525,0.1707825764846727,0.10833575391205319,0.034175399774988735,0.2832866778407524,29.112821757925186,4.748187059692445,0.05186346046014819,0.024159943124433987,,A_2,frozen/full
14,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,49,5,0.21221271251824642,0.34077456797055244,0.2866574497975894,0.08904819982552269,0.23252471458280116,0.12177418182844772,0.45540433528496727,0.0814141342726119,0.03204358448456002,,A_2,frozen/full
15,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,69,5,0.2036616848648215,0.22155300924928156,0.09671620314107413,0.05941022324189754,0.27356482900599555,6.383117909451506,4.005082531547393,0.03688312957194996,0.028995019462639687,,A_2,frozen/full
16,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,53,5,0.21406657691889283,0.22553484747859126,0.13735824703848887,0.03813328748467734,0.26842730074007504,1.9645639206269971,2.240265825890017,0.04652496664455151,0.023924152508097228,,A_2,frozen/full
17,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,5,0.21939294907229778,0.20477628508956086,0.21031049188407072,0.06990450620032479,0.24637808846589238,1.9642431590508902,0.7284006559716495,0.0522135814421057,0.023235771664468257,,A_2,frozen/full
18,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,65,5,0.24816953113669254,0.29356676707740725,0.19712900426437915,0.08996781484259851,0.2562204945394705,0.7095054329957355,1.7173838633030158,0.02695165442072565,0.03999356324138425,,A_2,frozen/full
19,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,63,5,0.22246490714886794,0.2945860097254411,0.17277970918475244,0.07966962400695393,0.22095774453973768,0.4625253582684218,0.8332438708490153,0.0625195478427631,0.02283183194301613,,A_2,frozen/full
20,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,59,5,0.212108447856782,0.2360730412000438,0.17193419354196357,0.05042029824901544,0.26693944187594,0.7302582619841375,0.8902647343096545,0.051132840988027305,0.02504883424522301,,A_2,frozen/full
21,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,75,5,0.1941236829271281,0.19325308722888293,0.14770761375277272,0.045225656142542627,0.2876068764989372,1.827311253384261,1.2685571841381307,0.05986718182316618,0.019257803470024207,,A_2,frozen/full
